Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
36,Jose Castillo\castijo02,2008-03-22,San Francisco Giants,PIT,27,-1.8,4,465,1492,165,382,33,181,11,84,.256,.297,.380,.677,,,,,,,,,,,,
37,Brad Salmon\salmobr01,2008-03-19,Kansas City Royals,CIN,28,0.3,1,22,0,0,0,0,0,0,0,,,,,0,1,4.13,1.333,26,0,0,24.0,22,3,10,22
38,Steve Green\greenst01,2008-03-18,Philadelphia Phillies,BAL,30,,6,,,,,,,,,,,,,,,,,,,,,,,,
39,Armando Benitez\benitar01,2008-03-13,Toronto Blue Jays,FLA,35,-0.2,14,512,8,0,0,0,2,0,0,.000,.000,.000,.000,40,46,3.11,1.219,754,0,289,772.2,541,92,401,937
40,Kyle Lohse\lohseky01,2008-03-13,St. Louis Cardinals,PHI,29,4.6,7,56,92,3,16,0,6,0,2,.174,.198,.196,.394,63,74,4.82,1.432,218,195,0,1164.0,1302,157,365,734
41,Fernando Tatis\tatisfe01,2008-03-13,New York Mets,NYM,33,0.1,8,691,2373,346,618,92,347,43,264,.260,.344,.440,.784,,,,,,,,,,,,
42,Chad Moeller\moellch01,2008-03-12,New York Yankees,LAD,33,-2.6,8,421,1198,125,268,26,113,2,93,.224,.284,.346,.630,,,,,,,,,,,,
43,Tony Batista\batisto01,2008-03-10,Washington Nationals,WSN,34,-0.8,11,1309,4568,625,1146,221,718,47,287,.251,.299,.453,.752,,,,,,,,,,,,
44,Enrique Cruz\cruzen01,2008-03-10,New York Mets,CIN,26,-0.1,2,61,72,6,6,0,2,0,4,.083,.143,.097,.240,,,,,,,,,,,,
45,Blaine Neal\nealbl01,2008-03-07,Detroit Tigers,TOR,30,-0.4,6,,,,,,,,,,,,,,,,,,,,,,,,
46,Jerry Hairston\hairsje02,2008-03-05,Cincinnati Reds,TEX,32,0.3,10,818,2534,339,641,33,216,112,217,.253,.324,.358,.682,,,,,,,,,,,,
47,Ryan O'Malley\omallry01,2008-03-05,Chicago Cubs,CHC,28,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
