Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
155,Kevin Barker\barkeke01,2008-01-14,Cincinnati Reds,TOR,32,0.0,4,97,253,30,62,6,33,3,31,.245,.328,.352,.679,,,,,,,,,,,,
156,Jesse Foppert\foppeje01,2008-01-14,San Francisco Giants,SFG,27,-0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
157,Philip Barzilla\barziph01,2008-01-11,Seattle Mariners,HOU,29,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
158,Emil Brown\brownem01,2008-01-11,Oakland Athletics,KCR,33,2.3,8,619,1842,248,482,46,267,48,169,.262,.329,.401,.729,,,,,,,,,,,,
159,Mike Cameron\camermi01,2008-01-11,Milwaukee Brewers,SDP,35,9.4,13,1560,5452,866,1366,216,786,272,696,.251,.341,.445,.786,,,,,,,,,,,,
160,D.J. Carrasco\carradj01,2008-01-11,Chicago White Sox,ARI,31,1.6,3,6,9,0,0,0,0,0,0,.000,.000,.000,.000,14,15,4.81,1.554,101,22,2,230.1,252,24,106,128
161,Eddie Guardado\guarded01,2008-01-11,Texas Rangers,CIN,37,1.0,15,70,1,0,0,0,0,0,0,.000,.000,.000,.000,41,55,4.31,1.316,796,25,183,850.0,805,126,314,745
162,Doug Mirabelli\mirabdo01,2008-01-11,Boston Red Sox,BOS,37,-0.4,12,566,1456,162,337,58,206,3,165,.231,.317,.407,.724,,,,,,,,,,,,
163,Erasmo Ramirez\ramirer01,2008-01-11,Milwaukee Brewers,FLA,32,0.6,4,6,0,0,0,0,0,0,0,,,,,8,4,3.95,1.167,91,0,0,114.0,111,12,22,56
164,Chin-hui Tsao\tsaoch01,2008-01-11,Kansas City Royals,LAD,27,0.0,4,49,13,2,2,0,0,0,0,.154,.154,.231,.385,4,4,5.40,1.392,50,8,4,88.1,89,19,34,60
165,Randy Williams\willira01,2008-01-11,Florida Marlins,TEX,32,-0.5,2,32,1,0,0,0,0,0,0,.000,.000,.000,.000,3,1,6.68,1.774,38,0,0,31.0,36,5,19,25
166,Dave Matranga\matrada01,2008-01-10,Kansas City Royals,TEX,31,-0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
167,Adam Melhuse\melhuad01,2008-01-10,Texas Rangers,OAK,36,0.2,7,296,705,73,167,24,96,1,55,.237,.293,.397,.690,,,,,,,,,,,,
168,Pete Orr\orrpe01,2008-01-10,Washington Nationals,ATL,29,0.3,3,271,369,65,97,2,18,10,14,.263,.292,.339,.630,,,,,,,,,,,,
169,Chris Reitsma\reitsch01,2008-01-10,Seattle Mariners,SEA,30,-1.6,7,303,87,3,9,0,5,0,3,.103,.143,.115,.258,32,46,4.70,1.412,338,53,37,609.0,696,76,164,359
170,Tony Blanco\blancto01,2008-01-08,Colorado Rockies,WSN,26,-0.9,2,,,,,,,,,,,,,,,,,,,,,,,,
171,Miguel Cairo\cairomi01,2008-01-08,Seattle Mariners,STL,34,0.5,12,1092,3095,392,826,27,295,123,186,.267,.315,.359,.674,,,,,,,,,,,,
172,Shawn Camp\campsh01,2008-01-08,Toronto Blue Jays,TBD,32,-1.4,4,9,0,0,0,0,0,0,0,,,,,10,13,5.27,1.582,196,0,6,230.2,299,30,66,168
173,Marcus Giles\gilesma01,2008-01-08,Colorado Rockies,SDP,30,4.6,7,792,2934,468,813,76,333,70,318,.277,.353,.429,.782,,,,,,,,,,,,
174,Matt Ginter\gintema01,2008-01-08,Cleveland Indians,MIL,30,-0.4,6,15,14,1,3,0,1,0,2,.214,.313,.286,.598,4,4,5.46,1.498,92,15,1,211.0,244,28,72,120
175,Ken Huckaby\huckake01,2008-01-08,Kansas City Royals,LAD,37,-0.4,6,,,,,,,,,,,,,,,,,,,,,,,,
176,Ray King\kingra01,2008-01-08,Washington Nationals,MIL,34,0.9,9,559,6,0,0,0,0,0,0,.000,.000,.000,.000,20,23,3.43,1.344,581,0,2,404.2,367,33,177,277
177,Matt Riley\rileyma01,2008-01-08,Los Angeles Dodgers,LAD,28,-0.6,8,,,,,,,,,,,,,,,,,,,,,,,,
178,Zach Day\dayza01,2008-01-07,Minnesota Twins,KCR,30,-1.5,5,,,,,,,,,,,,,,,,,,,,,,,,
179,Ron Flores\florero01,2008-01-07,St. Louis Cardinals,OAK,28,1.0,3,10,1,0,0,0,0,0,0,.000,.000,.000,.000,1,4,3.05,1.321,53,0,1,56.0,52,6,22,41
180,J.R. House\housejr01,2008-01-07,Houston Astros,BAL,28,-0.2,4,29,57,6,10,3,3,0,1,.175,.217,.386,.603,,,,,,,,,,,,
181,Mike Difelice\difelmi01,2008-01-06,,NYM,39,-0.6,12,543,1538,144,362,28,163,3,100,.235,.287,.355,.642,,,,,,,,,,,,
182,Brent Butler\butlebr02,2008-01-04,,TBD,30,,6,,,,,,,,,,,,,,,,,,,,,,,,
183,Darren Clarke\clarkda06,2008-01-04,Colorado Rockies,COL,27,0.1,1,2,0,0,0,0,0,0,0,,,,,0,0,0.00,2.250,2,0,0,1.1,2,0,1,1
184,Alexis Gomez\gomezal01,2008-01-04,Florida Marlins,COL,29,-0.1,5,,,,,,,,,,,,,,,,,,,,,,,,
185,Aaron Miles\milesaa01,2008-01-04,St. Louis Cardinals,STL,31,-1.2,5,509,1698,218,480,12,139,20,100,.283,.323,.357,.680,0,0,9.00,1.500,2,0,0,2.0,3,1,0,0
186,Andy Phillips\phillan01,2008-01-04,Cincinnati Reds,NYY,31,0.2,4,203,479,65,121,11,60,3,28,.253,.294,.384,.678,,,,,,,,,,,,
187,Heath Phillips\phillhe01,2008-01-04,New York Yankees,CHW,26,0.2,1,1,0,0,0,0,0,0,0,,,,,1,1,3.68,1.909,6,0,0,7.1,10,1,4,2
188,Jorge Piedra\piedrjo01,2008-01-04,Florida Marlins,OAK,29,-0.5,3,,,,,,,,,,,,,,,,,,,,,,,,
189,Josh Towers\towerjo01,2008-01-04,Colorado Rockies,TOR,31,-0.3,7,10,16,1,1,0,0,0,0,.063,.063,.063,.125,45,55,4.96,1.382,137,112,1,726.0,881,122,122,387
190,Billy Traber\trabebi01,2008-01-04,New York Yankees,WSN,28,-0.4,3,40,21,1,1,0,1,0,1,.048,.091,.048,.139,12,14,5.41,1.551,76,28,0,194.2,235,24,67,140
191,Matt Clement\clemema01,2008-01-03,St. Louis Cardinals,BOS,33,2.9,9,,,,,,,,,,,,,,,,,,,,,,,,
192,Brian Esposito\esposbr01,2008-01-03,Colorado Rockies,STL,29,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
193,John Rodriguez\rodrijo03,2008-01-03,,STL,30,0.6,2,,,,,,,,,,,,,,,,,,,,,,,,
194,Victor Santos\santovi01,2008-01-02,San Francisco Giants,BAL,31,-0.7,7,138,124,5,12,0,2,0,2,.097,.111,.113,.224,23,48,5.21,1.584,186,87,0,602.1,675,86,279,425
195,Cliff Politte\politcl01,2007-12-29,St. Louis Cardinals,CLE,34,1.8,9,,,,,,,,,,,,,,,,,,,,,,,,
196,Jon Switzer\switzjo01,2007-12-28,Boston Red Sox,TBD,28,-0.2,4,3,0,0,0,0,0,0,0,,,,,2,4,6.11,1.794,68,0,0,66.1,83,9,36,43
197,Darin Erstad\erstada01,2007-12-27,Houston Astros,CHW,34,2.7,12,1407,5568,851,1582,118,657,177,447,.284,.339,.411,.750,,,,,,,,,,,,
198,Miguel Olivo\olivomi01,2007-12-27,Kansas City Royals,FLA,29,0.6,6,556,1786,210,427,61,224,25,72,.239,.275,.405,.680,,,,,,,,,,,,
199,Luis Terrero\terrelu01,2007-12-27,Baltimore Orioles,CHW,28,-0.5,5,243,551,66,129,14,52,17,47,.234,.319,.356,.675,,,,,,,,,,,,
200,Jorge Campillo\campijo01,2007-12-26,Atlanta Braves,SEA,29,-0.3,3,0,0,0,0,0,0,0,0,,,,,0,0,7.13,1.698,8,1,0,17.2,23,2,7,11
201,Kane Davis\daviska01,2007-12-26,Toronto Blue Jays,PHI,33,0.4,5,103,6,0,0,0,0,0,0,.000,.000,.000,.000,4,10,5.53,1.668,107,2,0,125.1,135,21,74,96
202,Matt DeSalvo\desalma01,2007-12-26,Atlanta Braves,NYY,27,-0.1,1,0,0,0,0,0,0,0,0,,,,,1,3,6.18,1.880,7,6,0,27.2,34,2,18,10
203,Jason Ellison\ellisja01,2007-12-26,Texas Rangers,CIN,30,-0.7,5,335,541,84,136,8,33,22,35,.251,.302,.351,.653,,,,,,,,,,,,
204,Mark Prior\priorma01,2007-12-26,San Diego Padres,CHC,27,3.0,5,,,,,,,,,,,,,,,,,,,,,,,,
205,Jamie Vermilyea\vermija01,2007-12-26,Toronto Blue Jays,TOR,26,0.2,1,0,0,0,0,0,0,0,0,,,,,0,0,0.00,0.833,2,0,0,6.0,5,0,0,2
206,Brad Eldred\eldrebr01,2007-12-23,Chicago White Sox,PIT,27,-1.3,2,74,236,26,47,14,30,1,14,.199,.251,.419,.670,,,,,,,,,,,,
207,Elizardo Ramirez\ramirel01,2007-12-23,Texas Rangers,CIN,25,-0.7,4,36,39,4,6,0,3,1,2,.154,.195,.179,.375,4,14,5.99,1.554,38,26,0,157.2,193,27,52,95
208,So Taguchi\tagucso01,2007-12-23,Philadelphia Phillies,STL,38,1.7,6,578,1267,178,359,19,154,36,93,.283,.336,.391,.727,,,,,,,,,,,,
209,Elmer Dessens\desseel01,2007-12-21,Pittsburgh Pirates,COL,37,-0.4,11,310,240,14,39,0,16,0,22,.163,.233,.188,.420,48,61,4.50,1.415,356,140,5,1090.2,1225,135,318,661
210,Robert Fick\fickro01,2007-12-21,San Diego Padres,WSN,34,-1.9,10,846,2373,287,613,69,324,6,235,.258,.328,.405,.732,,,,,,,,,,,,
211,LaTroy Hawkins\hawkila01,2007-12-21,New York Yankees,COL,35,2.3,13,223,6,0,0,0,0,0,0,.000,.000,.000,.000,56,76,4.68,1.465,631,98,75,1072.0,1211,132,359,700
212,Jose Macias\maciajo01,2007-12-21,Pittsburgh Pirates,MIL,36,-0.4,8,,,,,,,,,,,,,,,,,,,,,,,,
213,Brian Sanches\sanchbr01,2007-12-21,Washington Nationals,PHI,29,-0.2,2,29,0,0,0,0,0,0,0,,,,,1,1,5.75,1.694,30,0,0,36.0,36,11,25,31
214,Sean Barker\barkese01,2007-12-20,Colorado Rockies,COL,28,0.0,1,3,2,0,0,0,0,0,0,.000,.333,.000,.333,,,,,,,,,,,,
215,Chad Durbin\durbich01,2007-12-20,Philadelphia Phillies,DET,30,0.8,8,10,6,0,0,0,1,0,0,.000,.000,.000,.000,25,37,5.75,1.566,114,75,1,465.0,535,78,193,265
216,Nick Green\greenni01,2007-12-20,New York Yankees,SEA,29,0.6,4,275,703,105,169,10,59,5,56,.240,.309,.347,.656,,,,,,,,,,,,
217,Geoff Jenkins\jenkige01,2007-12-20,Philadelphia Phillies,MIL,33,7.1,10,1234,4407,661,1221,212,704,31,394,.277,.347,.496,.843,,,,,,,,,,,,
218,Ron Mahay\mahayro01,2007-12-20,Kansas City Royals,ATL,37,2.0,12,96,28,3,6,1,3,0,1,.214,.267,.429,.695,19,10,3.87,1.408,359,3,4,419.0,383,54,207,354
219,Anastacio Martinez\martian01,2007-12-20,Detroit Tigers,DET,29,,3,,,,,,,,,,,,,,,,,,,,,,,,
220,Carlos Silva\silvaca01,2007-12-20,Seattle Mariners,MIN,29,5.0,6,133,23,0,3,0,1,0,1,.130,.167,.174,.341,55,46,4.31,1.368,259,125,2,945.0,1122,117,171,395
221,Scott Strickland\stricsc02,2007-12-20,New York Yankees,SDP,32,-0.1,6,228,6,0,0,0,0,0,0,.000,.000,.000,.000,12,21,3.34,1.300,236,0,20,240.0,201,25,111,243
222,Danny Ardoin\ardoida01,2007-12-19,Los Angeles Dodgers,STL,33,0.4,4,141,372,47,75,7,31,1,40,.202,.298,.306,.605,,,,,,,,,,,,
223,Michael Barrett\barremi01,2007-12-19,San Diego Padres,SDP,31,3.5,10,1017,3400,386,903,95,413,11,269,.266,.322,.426,.747,,,,,,,,,,,,
224,Paul Hoover\hoovepa01,2007-12-19,Florida Marlins,FLA,32,0.1,4,15,34,3,9,0,3,0,0,.265,.265,.265,.529,,,,,,,,,,,,
225,D'Angelo Jimenez\jimend'01,2007-12-19,St. Louis Cardinals,WSN,30,-0.5,8,641,2159,290,568,36,228,36,291,.263,.351,.377,.728,,,,,,,,,,,,
226,Jason LaRue\larueja01,2007-12-19,St. Louis Cardinals,KCR,34,2.4,9,781,2395,277,557,88,316,13,214,.233,.319,.405,.723,,,,,,,,,,,,
227,Roberto Novoa\novoaro01,2007-12-19,Baltimore Orioles,BAL,28,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
228,Mark Redman\redmama01,2007-12-19,Colorado Rockies,COL,34,-0.5,9,75,142,3,8,0,3,0,6,.056,.095,.056,.151,66,80,4.75,1.420,209,194,0,1193.1,1303,134,391,727
229,T.J. Beam\beamtj01,2007-12-18,Pittsburgh Pirates,NYY,27,-0.4,1,2,1,0,0,0,0,0,0,.000,.000,.000,.000,2,0,8.50,1.778,20,0,0,18.0,26,5,6,12
230,Jolbert Cabrera\cabrejo02,2007-12-18,Cincinnati Reds,COL,35,,7,561,1291,172,333,15,145,36,65,.258,.305,.362,.667,,,,,,,,,,,,
231,Jorge Cantu\cantujo01,2007-12-18,Florida Marlins,CIN,26,-0.7,4,359,1299,150,355,45,209,2,66,.273,.312,.450,.762,,,,,,,,,,,,
232,Cory Doyne\doyneco01,2007-12-18,Baltimore Orioles,BAL,26,-0.2,1,0,0,0,0,0,0,0,0,,,,,0,0,14.73,2.727,5,0,0,3.2,7,1,3,2
233,Chris Fussell\fussech01,2007-12-18,Los Angeles Dodgers,LAD,32,,9,,,,,,,,,,,,,,,,,,,,,,,,
234,Tadahito Iguchi\iguchta01,2007-12-18,San Diego Padres,PHI,33,6.3,3,408,1531,238,422,42,181,40,163,.276,.347,.421,.768,,,,,,,,,,,,
235,Mike Koplove\koplomi01,2007-12-18,Los Angeles Dodgers,CLE,31,-0.3,7,209,5,0,0,0,0,0,0,.000,.000,.000,.000,15,7,3.82,1.312,222,0,2,254.2,231,19,103,175
236,Chad Paronto\paronch01,2007-12-18,Houston Astros,ATL,32,1.1,5,107,1,0,0,0,0,0,0,.000,.000,.000,.000,6,11,4.00,1.425,165,0,1,166.1,174,15,63,100
237,Tim Raines\raineti02,2007-12-18,Arizona Diamondbacks,HOU,28,,6,,,,,,,,,,,,,,,,,,,,,,,,
238,Michael Tejera\tejermi01,2007-12-18,Boston Red Sox,PIT,31,-0.1,8,,,,,,,,,,,,,,,,,,,,,,,,
239,Matt Wise\wisema01,2007-12-18,New York Mets,MIL,32,1.4,7,167,7,0,2,0,1,0,0,.286,.286,.286,.571,17,21,4.18,1.261,201,18,2,310.0,288,38,103,238
240,Gary Bennett\bennega01,2007-12-17,Los Angeles Dodgers,STL,36,-2.0,12,577,1669,140,404,21,188,6,137,.242,.303,.327,.630,,,,,,,,,,,,
241,Micah Bowie\bowiemi01,2007-12-17,Colorado Rockies,WSN,33,1.1,5,57,26,0,4,0,4,0,1,.154,.185,.154,.339,8,12,6.01,1.685,78,19,0,148.1,172,19,78,106
242,Jack Cassel\casseja01,2007-12-17,Houston Astros,SDP,27,0.2,1,6,8,2,1,0,0,0,0,.125,.125,.125,.250,1,1,3.97,1.544,6,4,0,22.2,30,1,5,11
243,Cliff Floyd\floydcl01,2007-12-17,Tampa Bay Devil Rays,CHC,35,4.4,15,1531,5057,792,1411,222,826,147,572,.279,.359,.484,.844,,,,,,,,,,,,
244,Miguel Perez\perezmi02,2007-12-17,Pittsburgh Pirates,CIN,24,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
245,Adam Pettyjohn\pettyad01,2007-12-17,Cincinnati Reds,MIL,31,,1,1,2,0,0,0,0,0,0,.000,.000,.000,.000,1,6,5.82,1.569,16,9,0,65.0,81,10,21,40
246,John Gall\galljo01,2007-12-15,Florida Marlins,FLA,30,-0.1,3,33,53,6,13,2,11,0,1,.245,.268,.415,.683,,,,,,,,,,,,
247,Franklyn German\germafr01,2007-12-15,Texas Rangers,TEX,28,0.8,5,23,1,0,0,0,0,0,0,.000,.000,.000,.000,8,4,4.60,1.774,138,0,7,137.0,137,17,106,99
248,Rob Bell\bellro01,2007-12-14,Washington Nationals,BAL,31,-1.1,7,39,60,2,5,0,0,0,3,.083,.127,.117,.244,34,37,5.71,1.523,151,108,0,686.0,757,125,288,421
249,Adam Bernero\bernead01,2007-12-14,Pittsburgh Pirates,BOS,31,-0.5,7,,,,,,,,,,,,,,,,,,,,,,,,
250,Shawn Estes\estessh01,2007-12-14,San Diego Padres,SDP,35,0.8,12,286,489,49,77,4,28,1,15,.157,.187,.219,.405,99,90,4.71,1.528,274,273,0,1634.2,1658,152,840,1191
251,Jerry Gil\gilje01,2007-12-14,Cincinnati Reds,CIN,25,0.0,2,30,86,3,15,0,8,2,0,.174,.182,.221,.403,,,,,,,,,,,,
252,John Koronka\koronjo01,2007-12-14,Colorado Rockies,CLE,27,-0.4,3,8,12,0,0,0,0,0,1,.000,.077,.000,.077,8,11,6.02,1.589,29,28,0,151.0,180,19,60,73
253,Mike Lamb\lambmi01,2007-12-14,Minnesota Twins,HOU,32,2.5,8,844,2421,358,681,68,313,7,207,.281,.339,.427,.766,,,,,,,,,,,,
254,Darrell Rasner\rasneda01,2007-12-14,New York Yankees,NYY,27,0.7,3,6,0,0,0,0,0,0,0,,,,,4,5,4.13,1.280,17,10,0,52.1,52,6,15,26
255,Kiko Calero\calerki01,2007-12-13,Oakland Athletics,OAK,33,1.7,5,70,6,1,1,0,1,0,0,.167,.167,.167,.333,12,10,3.55,1.218,241,1,7,238.0,197,23,93,248
256,David Eckstein\eckstda01,2007-12-13,Toronto Blue Jays,STL,33,5.4,7,965,3772,556,1079,30,285,110,279,.286,.351,.362,.713,,,,,,,,,,,,
257,Adam Everett\everead01,2007-12-13,Minnesota Twins,HOU,31,7.4,7,649,2145,257,531,35,214,59,131,.248,.299,.357,.656,,,,,,,,,,,,
258,Chris George\georgch02,2007-12-13,Colorado Rockies,FLA,28,,6,,,,,,,,,,,,,,,,,,,,,,,,
259,Willie Harris\harriwi02,2007-12-13,Washington Nationals,ATL,30,2.0,7,486,1243,194,307,7,85,72,127,.247,.318,.321,.639,,,,,,,,,,,,
260,Greg Jones\jonesgr01,2007-12-13,Los Angeles Dodgers,LAA,31,-0.1,4,1,0,0,0,0,0,0,0,,,,,0,0,5.48,1.615,38,0,0,47.2,54,8,23,40
261,Danny Klassen\klassda01,2007-12-13,Houston Astros,HOU,32,,9,,,,,,,,,,,,,,,,,,,,,,,,
262,Rob Mackowiak\mackoro01,2007-12-13,Washington Nationals,SDP,32,3.4,7,818,2275,300,596,63,282,49,219,.262,.334,.409,.743,,,,,,,,,,,,
263,Alex Rodriguez\rodrial01,2007-12-13,New York Yankees,NYY,32,23.3,14,1904,7350,1501,2250,518,1503,265,915,.306,.389,.578,.967,,,,,,,,,,,,
264,Ray Sadler\sadlera01,2007-12-13,Houston Astros,HOU,27,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
265,Luis Vizcaino\vizcalu01,2007-12-13,Colorado Rockies,NYY,33,3.0,9,293,4,0,0,0,0,0,0,.000,.000,.000,.000,33,25,4.25,1.325,485,0,7,485.1,437,67,206,431
266,Kip Wells\wellski01,2007-12-13,Colorado Rockies,STL,31,-1.9,9,166,303,28,61,4,17,1,4,.201,.214,.281,.495,64,91,4.63,1.508,231,203,0,1190.2,1250,135,545,870
267,Brian Falkenborg\falkebr01,2007-12-12,Los Angeles Dodgers,STL,30,-0.2,5,37,4,1,0,0,0,0,1,.000,.200,.000,.200,1,2,5.74,1.669,39,0,0,53.1,65,6,24,43
268,Chris Gomez\gomezch02,2007-12-12,Pittsburgh Pirates,CLE,37,0.5,15,1425,4421,491,1156,59,467,35,395,.261,.326,.361,.686,,,,,,,,,,,,
269,John-Ford Griffin\griffjo01,2007-12-12,Los Angeles Dodgers,TOR,28,0.2,2,13,23,7,7,2,9,0,3,.304,.370,.696,1.066,,,,,,,,,,,,
270,Joe Nelson\nelsojo01,2007-12-12,Florida Marlins,KCR,33,0.5,3,2,0,0,0,0,0,0,0,,,,,1,1,6.39,1.561,48,0,9,49.1,48,6,29,49
271,Andy Pettitte\pettian01,2007-12-12,New York Yankees,NYY,36,11.6,13,99,179,5,24,1,12,0,6,.134,.161,.179,.340,201,113,3.83,1.355,403,393,0,2527.2,2636,211,790,1844
272,Aaron Rowand\rowanaa01,2007-12-12,San Francisco Giants,PHI,30,9.3,7,849,2664,419,761,93,347,54,161,.286,.343,.462,.805,,,,,,,,,,,,
273,Mike Thompson\thompmi03,2007-12-12,Pittsburgh Pirates,SDP,27,-0.8,2,25,27,2,4,0,0,0,1,.148,.179,.148,.327,4,6,5.27,1.477,26,16,0,107.2,122,15,37,40
274,Angel Chavez\chavean02,2007-12-11,Los Angeles Dodgers,NYY,26,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
275,Luis Rivas\rivaslu01,2007-12-11,Pittsburgh Pirates,CLE,28,-0.3,7,569,1895,261,496,31,181,78,113,.262,.307,.385,.692,,,,,,,,,,,,
276,Milton Bradley\bradlmi01,2007-12-10,Texas Rangers,SDP,30,5.2,8,691,2453,362,670,81,322,69,309,.273,.358,.439,.797,,,,,,,,,,,,
277,Eric Gagne\gagneer01,2007-12-10,Milwaukee Brewers,BOS,32,1.6,9,287,86,5,12,1,3,0,1,.140,.149,.221,.370,29,23,3.31,1.132,352,48,177,597.1,472,65,204,680
278,Paul Lo Duca\loducpa01,2007-12-10,Washington Nationals,NYM,36,3.8,10,1015,3719,467,1070,80,466,19,251,.288,.338,.414,.752,,,,,,,,,,,,
279,Beltran Perez\perezbe01,2007-12-10,Washington Nationals,WSN,26,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,
280,Joe Borchard\borchjo01,2007-12-08,Atlanta Braves,FLA,29,-0.9,6,301,716,89,147,26,77,5,74,.205,.284,.352,.636,,,,,,,,,,,,
281,Scott Atchison\atchisc01,2007-12-07,Boston Red Sox,SFG,32,0.2,3,22,2,0,0,0,0,0,0,.000,.000,.000,.000,2,3,4.10,1.368,53,0,0,68.0,68,10,25,70
282,Jeff Bailey\baileje01,2007-12-07,Boston Red Sox,BOS,29,-0.1,1,3,9,1,1,1,1,0,0,.111,.111,.444,.556,,,,,,,,,,,,
283,Dee Brown\brownde02,2007-12-07,Los Angeles Angels of Anaheim,OAK,30,0.0,8,271,814,86,190,14,89,8,50,.233,.280,.333,.613,,,,,,,,,,,,
284,Ryan Bukvich\bukviry01,2007-12-07,Baltimore Orioles,CHW,30,0.0,5,5,0,0,0,0,0,0,0,,,,,3,0,6.12,1.761,93,0,1,82.1,80,9,65,57
285,Raul Chavez\chavera01,2007-12-07,Pittsburgh Pirates,NYY,35,-0.5,9,170,405,26,86,4,40,3,21,.212,.253,.284,.537,,,,,,,,,,,,
286,Tim Corcoran\corcoti02,2007-12-07,Florida Marlins,TBD,30,1.2,3,4,4,0,0,0,0,0,0,.000,.000,.000,.000,5,9,4.97,1.535,40,17,0,130.1,128,13,72,78
287,Vic Darensbourg\darenvi01,2007-12-07,Philadelphia Phillies,DET,37,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,
288,Marcus Gwyn\gwynma01,2007-12-07,Florida Marlins,LAA,30,-0.2,1,0,0,0,0,0,0,0,0,,,,,0,0,11.81,2.625,3,0,1,5.1,9,3,5,3
289,Gary Knotts\knottga01,2007-12-07,Philadelphia Phillies,PHI,31,,6,,,,,,,,,,,,,,,,,,,,,,,,
290,Mark Loretta\loretma01,2007-12-07,Houston Astros,HOU,36,1.6,13,1518,5370,722,1598,72,566,46,506,.298,.362,.399,.761,0,0,0.00,2.000,1,0,0,1.0,1,0,1,2
291,Marshall McDougall\mcdouma01,2007-12-07,San Diego Padres,LAD,29,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,
292,Val Pascucci\pascuva01,2007-12-07,Philadelphia Phillies,FLA,29,,1,32,62,6,11,2,6,1,10,.177,.297,.290,.588,,,,,,,,,,,,
293,Brian Shackelford\shackbr01,2007-12-07,Los Angeles Dodgers,TBD,31,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
294,Aaron Boone\booneaa01,2007-12-06,Washington Nationals,FLA,35,1.3,10,1038,3626,496,961,120,527,107,285,.265,.329,.429,.758,,,,,,,,,,,,
295,Bernie Castro\castrbe01,2007-12-06,New York Yankees,WSN,28,-0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
296,Andruw Jones\jonesan01,2007-12-06,Los Angeles Dodgers,ATL,31,15.4,12,1761,6408,1045,1683,368,1117,138,717,.263,.342,.497,.839,,,,,,,,,,,,
297,Nate Field\fieldna01,2007-12-05,New York Mets,FLA,32,-0.2,6,19,0,0,0,0,0,0,0,,,,,4,5,5.13,1.586,89,0,3,87.2,92,13,47,72
298,Justin Leone\leoneju01,2007-12-05,San Francisco Giants,SFG,31,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,
299,David Riske\riskeda01,2007-12-05,Milwaukee Brewers,KCR,31,3.7,8,23,0,0,0,0,0,0,0,,,,,19,18,3.40,1.265,393,0,20,431.0,366,58,179,398
300,Oscar Salazar\salazos01,2007-12-05,Baltimore Orioles,BAL,30,,1,8,21,2,4,1,3,0,1,.190,.227,.381,.608,,,,,,,,,,,,
301,Joe Thurston\thursjo01,2007-12-05,Boston Red Sox,PHI,28,-0.1,4,55,58,7,15,0,2,0,2,.259,.286,.345,.631,,,,,,,,,,,,
302,Raul Casanova\casanra01,2007-12-04,New York Mets,TBD,35,0.2,8,367,1026,93,240,34,124,2,92,.234,.301,.380,.682,,,,,,,,,,,,
303,Scott Cassidy\cassisc01,2007-12-04,Milwaukee Brewers,SDP,32,-0.1,5,,,,,,,,,,,,,,,,,,,,,,,,
304,Jose Guillen\guilljo01,2007-12-04,Kansas City Royals,SEA,32,6.2,11,1268,4485,597,1230,166,673,27,244,.274,.325,.447,.773,,,,,,,,,,,,
305,Josh Hall\halljo03,2007-12-04,Washington Nationals,WSN,27,,4,,,,,,,,,,,,,,,,,,,,,,,,
306,Gustavo Molina\molingu01,2007-12-04,New York Mets,BAL,26,-0.4,1,17,27,1,3,0,1,0,1,.111,.138,.148,.286,,,,,,,,,,,,
307,Chris Narveson\narvech01,2007-12-04,Milwaukee Brewers,STL,26,0.0,1,5,1,0,0,0,0,0,0,.000,.000,.000,.000,0,0,4.82,1.179,5,1,0,9.1,6,1,5,12
308,Casey Daigle\daiglca01,2007-12-03,Minnesota Twins,ARI,27,0.2,2,21,18,2,2,0,0,0,0,.111,.111,.222,.333,2,3,6.46,1.793,20,10,0,61.1,77,10,33,24
309,Jason Karnuth\karnuja01,2007-12-03,Milwaukee Brewers,DET,32,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,
310,Jose Molina\molinjo01,2007-12-03,New York Yankees,NYY,33,0.8,8,402,1043,104,253,16,107,9,48,.243,.279,.345,.624,,,,,,,,,,,,
311,Guillermo Quiroz\quirogu01,2007-12-03,Baltimore Orioles,TEX,26,-0.2,4,39,100,6,22,0,12,1,5,.220,.275,.270,.545,,,,,,,,,,,,
312,Prentice Redman\redmapr01,2007-12-03,Seattle Mariners,SEA,28,,4,,,,,,,,,,,,,,,,,,,,,,,,
313,Dane Sardinha\sardida01,2007-12-03,Detroit Tigers,DET,29,-0.1,2,2,5,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
