,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
abadan01_2006,5,3,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,5.0,0.126,0.13077833178399392,NL,94664,12380,102,abadan01,abadan01_2006,1,CIN,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_CIN,0.332,1.17,0.2832,-0.20854700854700858,62.526105949767334,,True,False,True,
abercre01_2006,111,255,39,54,12,2,5,24.0,6.0,5.0,18,78.0,2.0,3.0,4.0,1.0,2.0,16.0,35,281.0,0.126,0.13077833178399392,NL,94664,12380,98,abercre01,abercre01_2006,1,FLO,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_FLO,0.332,1.17,0.2638,-16.37965811965813,53.701099219861064,,False,False,False,
abercre01_2007,35,76,16,15,3,0,2,5.0,7.0,1.0,2,22.0,0.0,2.0,0.0,0.0,1.0,2.0,10,80.0,0.124,0.1298514362562777,NL,95178,12359,99,abercre01,abercre01_2007,1,FLO,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_FLO,0.331,1.192,0.2452625,-5.754194630872485,41.056586396838206,53.701099219861064,False,False,False,
abercre01_2008,34,55,10,17,5,0,2,5.0,5.0,2.0,1,23.0,0.0,2.0,1.0,1.0,0.0,1.0,10,60.0,0.12,0.12559485326069675,NL,94351,11850,98,abercre01,abercre01_2008,1,HOU,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_NL,2008_HOU,0.32799999999999996,1.2109999999999999,0.3642203389830508,1.7945667539083814,121.27045172967787,41.056586396838206,True,False,True,
abreubo01_2006,156.0,548.0,98.0,163.0,41.0,2.0,15.0,107.0,30.0,6.0,124.0,138.0,6.0,3.0,2.0,9.0,13.0,118.0,105.0,686.0,0.126,0.13020036180930641,MULT,87359,11285,101.27696793002916,abreubo01,abreubo01_2006,2,MULT,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_AL,2006_NYA,0.332,1.17,0.38753687315634217,32.56264528653907,131.99535775024074,,False,False,False,9.165
abreubo01_2007,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,84.0,110,699.0,0.124,0.12542717703130535,AL,87493,10974,100,abreubo01,abreubo01_2007,1,NYA,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_AL,2007_NYA,0.331,1.192,0.35834907010014305,16.037751677852334,117.1547141800679,131.99535775024074,False,False,False,10.165
abreubo01_2008,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,71.0,117,684.0,0.12,0.12325895720700082,AL,87304,10761,100,abreubo01,abreubo01_2008,1,NYA,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_AL,2008_NYA,0.32799999999999996,1.2109999999999999,0.3691612903225807,23.248821288724397,124.93169526776619,117.1547141800679,True,False,True,11.165
abreubo01_2009,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,87.0,118,667.0,0.12,0.12482370343190652,AL,87211,10886,99,abreubo01,abreubo01_2009,1,LAA,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_AL,2009_LAA,0.32899999999999996,1.21,0.3627848484848485,18.62354871024295,119.46558088265714,124.93169526776619,False,False,False,12.165
abreubo01_2010,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,84.0,84,667.0,0.115,0.11770830923016405,AL,86434,10174,96,abreubo01,abreubo01_2010,1,LAA,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_AL,2010_LAA,0.321,1.251,0.34735843373493974,14.053617347086176,119.50718857071435,119.46558088265714,False,False,False,13.165
abreubo01_2011,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,73.0,88,585.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,96,abreubo01,abreubo01_2011,1,LAA,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_LAA,0.316,1.264,0.32142832469775473,2.5123179969830027,103.7717087270509,119.50718857071435,False,False,False,14.165
abreubo01_2012,100.0,219.0,29.0,53.0,11.0,1.0,3.0,24.0,6.0,2.0,37.0,56.0,3.0,0.0,0.0,1.0,7.0,34.0,38.0,257.0,0.114,0.11892923489231583,MULT,85797,10032,95.89494163424123,abreubo01,abreubo01_2012,1,MULT,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_AL,2012_LAA,0.315,1.245,0.30976377952755907,-1.0808904910982489,96.25384966476696,103.7717087270509,False,True,True,15.147
abreubo01_2014,78,133,12,33,9,0,1,14.0,1.0,0.0,20,21.0,0.0,0.0,0.0,2.0,3.0,20.0,23,155.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,95,abreubo01,abreubo01_2014,1,NYN,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_NYN,0.31,1.304,0.30953548387096774,-0.055214723926380035,100.67652407166885,,False,True,True,16.107
abreujo02_2014,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,36.0,103,622.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,101,abreujo02,abreujo02_2014,1,CHA,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_CHA,0.31,1.304,0.41129654036243823,48.31782830171517,167.8982331261317,,False,False,False,
abreujo02_2015,154,613,88,178,34,3,30,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,28.0,111,668.0,0.113,0.11578947368421053,AL,91485,10593,99,abreujo02,abreujo02_2015,1,CHA,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_AL,2015_CHA,0.313,1.251,0.36108523592085234,25.676209108816444,131.76278804215517,167.8982331261317,False,False,False,
abreujo02_2016,159,624,67,183,32,1,25,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,40.0,125,695.0,0.11800000000000001,0.12008028623789162,AL,91672,11008,99,abreujo02,abreujo02_2016,1,CHA,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_AL,2016_CHA,0.318,1.212,0.34868168604651156,17.59387112403097,120.33192708615015,131.76278804215517,False,False,False,
abreujo02_2017,156,621,95,189,43,6,33,102.0,3.0,0.0,35,119.0,6.0,15.0,0.0,4.0,21.0,29.0,107,675.0,0.122,0.12339456998861974,AL,92265,11385,98,abreujo02,abreujo02_2017,1,CHA,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_AL,2017_CHA,0.321,1.185,0.37729297458893873,32.06561843673725,139.34536983445486,120.33192708615015,False,False,False,
abreujo02_2018,128,499,68,132,36,1,22,78.0,2.0,0.0,37,109.0,7.0,11.0,0.0,6.0,14.0,30.0,73,553.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,98,abreujo02,abreujo02_2018,1,CHA,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_CHA,0.315,1.226,0.33701831501831503,9.931589074329699,114.78960291088556,139.34536983445486,False,False,False,
abreuto01_2007,59,166,19,45,14,1,2,17.0,0.0,0.0,7,21.0,1.0,3.0,0.0,2.0,5.0,6.0,28,178.0,0.124,0.1298514362562777,NL,95178,12359,97,abreuto01,abreuto01_2007,1,LAN,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_LAN,0.331,1.192,0.3089943502824859,-3.286078565199256,84.14145242840205,,False,False,False,
abreuto01_2009,6,8,0,2,0,0,0,1.0,0.0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2,11.0,0.12,0.1230072463768116,NL,93840,11543,97,abreuto01,abreuto01_2009,1,LAN,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_NL,2009_LAN,0.32899999999999996,1.21,0.3555454545454546,0.24132231404958773,118.31692560655674,,False,False,False,
abreuto01_2010,81,193,16,45,11,1,1,13.0,2.0,1.0,4,47.0,0.0,0.0,0.0,4.0,8.0,4.0,32,201.0,0.115,0.11986761371573484,NL,93061,11155,106,abreuto01,abreuto01_2010,1,ARI,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_NL,2010_ARI,0.321,1.251,0.2442487562189055,-12.33173461231015,38.999764037000354,118.31692560655674,False,False,False,
abreuto01_2012,22,70,5,18,2,1,1,15.0,0.0,0.0,2,13.0,0.0,1.0,0.0,1.0,1.0,2.0,14,74.0,0.114,0.1169271652854995,AL,85797,10032,101,abreuto01,abreuto01_2012,1,KCA,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_AL,2012_KCA,0.315,1.245,0.2789864864864865,-2.1405622489959835,71.78270585516772,,False,False,False,
abreuto01_2013,53,138,21,37,12,3,2,14.0,0.0,2.0,6,33.0,1.0,1.0,1.0,1.0,5.0,5.0,20,147.0,0.11,0.11250129371312917,NL,86959,9783,92,abreuto01,abreuto01_2013,1,SFN,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_NL,2013_SFN,0.314,1.2770000000000001,0.3188551724137931,0.5588961196770413,108.97831515804494,71.78270585516772,False,False,False,
abreuto01_2014,3,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,95,abreuto01,abreuto01_2014,1,SFN,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_SFN,0.31,1.304,0.0,-0.9509202453987731,-110.72806358759071,108.97831515804494,False,True,True,
ackledu01_2011,90,333,39,91,16,7,6,36.0,6.0,0.0,40,79.0,1.0,0.0,0.0,3.0,3.0,39.0,62,376.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,94,ackledu01,ackledu01_2011,1,SEA,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_SEA,0.316,1.264,0.33695733333333333,6.23414345991561,116.25237654430843,,False,False,False,
ackledu01_2012,153,607,84,137,22,2,12,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,52.0,101,668.0,0.114,0.1169271652854995,AL,85797,10032,94,ackledu01,ackledu01_2012,1,SEA,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_AL,2012_SEA,0.315,1.245,0.2738666666666667,-22.069933065595695,75.09048716877079,116.25237654430843,False,False,False,
ackledu01_2013,113,384,40,97,18,2,4,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,36.0,73,427.0,0.11,0.1136459562125951,AL,92401,10501,96,ackledu01,ackledu01_2013,1,SEA,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_AL,2013_SEA,0.314,1.2770000000000001,0.29597156398104263,-6.028302411977132,88.24088344058458,75.09048716877079,False,False,False,
ackledu01_2014,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,31.0,78,542.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,96,ackledu01,ackledu01_2014,1,SEA,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_SEA,0.31,1.304,0.30515241635687734,-2.014869888475827,98.77591903959107,88.24088344058458,False,False,False,
ackledu01_2015,108.0,238.0,28.0,55.0,11.0,3.0,10.0,30.0,2.0,2.0,18.0,45.0,0.0,1.0,3.0,4.0,3.0,18.0,31.0,264.0,0.113,0.11578947368421053,MULT,91485,10593,97.07954545454545,ackledu01,ackledu01_2015,1,MULT,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_AL,2015_SEA,0.313,1.251,0.3051455938697318,-1.6575245550685935,95.01866450649048,98.77591903959107,False,False,False,
ackledu01_2016,28,61,6,9,0,0,0,4.0,0.0,0.0,8,9.0,0.0,0.0,0.0,1.0,0.0,8.0,9,70.0,0.11800000000000001,0.12008028623789162,AL,91672,11008,101,ackledu01,ackledu01_2016,1,NYA,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_AL,2016_NYA,0.318,1.212,0.19185714285714286,-7.285478547854785,10.611013206117132,95.01866450649048,True,False,True,
acunaro01_2018,111,433,78,127,26,4,26,64.0,16.0,5.0,45,123.0,2.0,6.0,0.0,3.0,4.0,43.0,71,487.0,0.11699999999999999,0.12212761126248865,NL,88080,10757,101,acunaro01,acunaro01_2018,1,ATL,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_ATL,0.315,1.226,0.3876494845360825,28.858318898101288,143.36424541747726,,False,False,False,
adamecr01_2014,7,15,1,1,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1,15.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,118,adamecr01,adamecr01_2014,1,COL,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_COL,0.31,1.304,0.05946666666666667,-2.8819018404907975,-92.23634183073811,,False,False,False,
adamecr01_2015,26,53,4,13,1,1,0,3.0,0.0,1.0,3,11.0,1.0,1.0,1.0,0.0,0.0,2.0,11,58.0,0.113,0.11658365615200147,NL,86736,10112,116,adamecr01,adamecr01_2015,1,COL,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_NL,2015_COL,0.313,1.251,0.2613035714285714,-2.396796848235698,45.97206690777576,-92.23634183073811,False,False,False,
adamecr01_2016,121,225,25,49,7,3,2,17.0,2.0,3.0,24,47.0,0.0,4.0,3.0,0.0,5.0,24.0,37,256.0,0.11800000000000001,0.12316953373083865,NL,87546,10783,116,adamecr01,adamecr01_2016,1,COL,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_NL,2016_COL,0.318,1.212,0.27424901185770745,-9.24113280893308,51.166731785172,45.97206690777576,False,False,False,
adamecr01_2017,12,13,1,0,0,0,0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,14.0,0.122,0.12856540517133316,NL,87753,11282,115,adamecr01,adamecr01_2017,1,COL,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_COL,0.321,1.185,0.049499999999999995,-3.207594936708861,-97.54873317864912,51.166731785172,True,False,True,
adamewi01_2018,85,288,43,80,7,0,10,34.0,6.0,5.0,31,95.0,3.0,1.0,1.0,2.0,6.0,28.0,63,323.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,97,adamewi01,adamewi01_2018,1,TBA,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_TBA,0.315,1.226,0.32764576802507833,3.3316338271617463,109.37631342273552,,False,False,False,
adamsda02_2013,43,140,10,27,5,1,2,13.0,0.0,0.0,9,43.0,0.0,2.0,1.0,0.0,4.0,9.0,19,152.0,0.11,0.1136459562125951,AL,92401,10501,101,adamsda02,adamsda02_2013,1,NYA,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_AL,2013_NYA,0.314,1.2770000000000001,0.24303973509933774,-8.446327537118766,46.92824756305722,,True,False,True,
adamsla01_2014,6,3,1,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,103,adamsla01,adamsla01_2014,1,KCA,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_KCA,0.31,1.304,0.0,-0.7131901840490797,-120.93862151121846,,False,False,False,
adamsla01_2017,85,109,19,30,4,1,5,20.0,10.0,0.0,10,37.0,0.0,1.0,1.0,1.0,3.0,10.0,20,122.0,0.122,0.12856540517133316,NL,87753,11282,101,adamsla01,adamsla01_2017,1,ATL,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_ATL,0.321,1.185,0.34357851239669424,2.3245388290267472,108.76455977631454,,False,False,False,
adamsla01_2018,26,25,10,6,1,0,2,6.0,1.0,0.0,4,8.0,0.0,0.0,0.0,0.0,1.0,4.0,3,29.0,0.11699999999999999,0.12212761126248865,NL,88080,10757,101,adamsla01,adamsla01_2018,1,ATL,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_ATL,0.315,1.226,0.3692758620689655,1.2838499184339311,131.0929487505043,108.76455977631454,True,False,True,
adamsma01_2012,27,86,8,21,6,0,2,13.0,0.0,0.0,5,24.0,0.0,0.0,0.0,0.0,3.0,5.0,13,91.0,0.114,0.11916426045485513,NL,92469,11019,98,adamsma01,adamsma01_2012,1,SLN,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_NL,2012_SLN,0.315,1.245,0.29236263736263735,-1.6546184738955838,82.32114145071593,,False,False,False,
adamsma01_2013,108,296,46,84,14,0,17,51.0,0.0,1.0,23,80.0,0.0,0.0,0.0,0.0,9.0,23.0,53,319.0,0.11,0.11250129371312917,NL,86959,9783,98,adamsma01,adamsma01_2013,1,SLN,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_NL,2013_SLN,0.314,1.2770000000000001,0.3650313479623824,12.747846515270153,135.2534680088125,82.32114145071593,False,False,False,
adamsma01_2014,142,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0,21.0,98,563.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,98,adamsma01,adamsma01_2014,1,SLN,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_SLN,0.31,1.304,0.33668996415770613,11.523351089561775,116.33678285952152,135.2534680088125,False,False,False,
adamsma01_2015,60,175,14,42,9,0,5,24.0,1.0,0.0,10,41.0,1.0,0.0,0.0,1.0,1.0,9.0,28,186.0,0.113,0.11658365615200147,NL,86736,10112,97,adamsma01,adamsma01_2015,1,SLN,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_NL,2015_SLN,0.313,1.251,0.28367567567567564,-4.359971482273646,79.72755030505188,116.33678285952152,False,False,False,
adamsma01_2016,118,297,37,74,18,0,16,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,24.0,40,327.0,0.11800000000000001,0.12316953373083865,NL,87546,10783,98,adamsma01,adamsma01_2016,1,SLN,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_NL,2016_SLN,0.318,1.212,0.33049693251533746,3.371697139039066,106.0903589281666,79.72755030505188,False,False,False,
adamsma01_2017,131.0,339.0,46.0,93.0,22.0,1.0,20.0,65.0,0.0,0.0,23.0,88.0,5.0,1.0,0.0,4.0,5.0,18.0,50.0,367.0,0.122,0.12856540517133316,MULT,87753,11282,100.27792915531336,adamsma01,adamsma01_2017,1,MULT,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_SLN,0.321,1.185,0.34614088397790055,7.786248455602952,111.13165480748253,106.0903589281666,True,False,True,
adamsma01_2018,121.0,306.0,42.0,73.0,10.0,0.0,21.0,57.0,0.0,0.0,27.0,73.0,3.0,4.0,0.0,0.0,6.0,24.0,42.0,337.0,0.11699999999999999,0.12212761126248865,MULT,88080,10757,100.93175074183975,adamsma01,adamsma01_2018,2,MULT,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_SLN,0.315,1.226,0.33389520958083835,5.1938708227916175,107.52845312158848,111.13165480748253,True,False,True,6.033
adamsru01_2006,90,251,31,55,14,1,3,28.0,1.0,2.0,22,41.0,0.0,1.0,3.0,3.0,5.0,22.0,37,280.0,0.126,0.12917959225723738,AL,87359,11285,101,adamsru01,adamsru01_2006,1,TOR,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_AL,2006_TOR,0.332,1.17,0.2674512635379061,-15.44756086272333,53.85536411777177,,False,False,False,
adamsru01_2007,27,60,14,14,3,0,2,12.0,2.0,1.0,7,14.0,1.0,0.0,2.0,0.0,1.0,6.0,9,69.0,0.124,0.12542717703130535,AL,87493,10974,100,adamsru01,adamsru01_2007,1,TOR,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_AL,2007_TOR,0.331,1.192,0.30434848484848487,-1.5427471018913972,81.03614284807782,53.85536411777177,False,False,False,
adamsru01_2009,8,20,2,4,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,21.0,0.12,0.12482370343190652,AL,87211,10886,100,adamsru01,adamsru01_2009,1,TOR,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_AL,2009_TOR,0.32899999999999996,1.21,0.20414285714285713,-2.1669421487603304,13.468818956835257,,True,False,True,
adamsry01_2011,29,89,9,25,4,0,0,7.0,0.0,0.0,6,25.0,0.0,1.0,0.0,0.0,7.0,6.0,21,96.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,103,adamsry01,adamsry01_2011,1,BAL,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_BAL,0.316,1.264,0.2985416666666667,-1.3259493670886047,81.477973390564,,False,False,False,
adducji02_2013,17,31,2,8,1,0,0,0.0,2.0,0.0,3,9.0,0.0,0.0,0.0,0.0,0.0,3.0,7,34.0,0.11,0.1136459562125951,AL,92401,10501,106,adducji02,adducji02_2013,1,TEX,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_AL,2013_TEX,0.314,1.2770000000000001,0.2810882352941176,-0.8762725137039954,68.30623947893959,,False,False,False,
adducji02_2014,44,101,13,17,3,0,1,8.0,3.0,1.0,10,27.0,0.0,0.0,1.0,2.0,2.0,10.0,13,114.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,104,adducji02,adducji02_2014,1,TEX,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_TEX,0.31,1.304,0.21654867256637167,-8.169824637602476,29.118091695676004,68.30623947893959,False,True,True,
adducji02_2017,29,83,14,20,6,2,1,10.0,1.0,1.0,10,27.0,0.0,0.0,0.0,0.0,1.0,10.0,11,93.0,0.122,0.12339456998861974,AL,92265,11385,101,adducji02,adducji02_2017,1,DET,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_AL,2017_DET,0.321,1.185,0.31239784946236554,-0.675105485232072,91.99821454423268,,True,False,True,
adducji02_2018,59,176,19,47,8,2,3,21.0,1.0,0.0,6,45.0,0.0,0.0,2.0,1.0,2.0,6.0,34,185.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,101,adducji02,adducji02_2018,1,DET,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_DET,0.315,1.226,0.2911748633879781,-3.5951470417814453,80.59278706691161,91.99821454423268,True,False,True,
adriaeh01_2013,9,18,3,4,1,0,1,3.0,0.0,0.0,1,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2,20.0,0.11,0.11250129371312917,NL,86959,9783,92,adriaeh01,adriaeh01_2013,1,SFN,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_NL,2013_SFN,0.314,1.2770000000000001,0.30726315789473685,-0.10551044800725373,100.90948632921253,,False,False,False,
adriaeh01_2014,53,97,10,23,6,0,0,5.0,1.0,1.0,5,22.0,1.0,1.0,2.0,1.0,2.0,4.0,17,106.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,95,adriaeh01,adriaeh01_2014,1,SFN,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_SFN,0.31,1.304,0.2557281553398058,-4.411668354279589,63.92753504164731,100.90948632921253,False,False,False,
adriaeh01_2015,52,113,11,21,7,1,0,11.0,3.0,2.0,15,20.0,0.0,4.0,2.0,0.0,2.0,15.0,13,134.0,0.113,0.11658365615200147,NL,86736,10112,96,adriaeh01,adriaeh01_2015,1,SFN,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_NL,2015_SFN,0.313,1.251,0.2652727272727273,-5.1122738173097835,68.07875604142697,63.92753504164731,False,False,False,
adriaeh01_2016,40,63,3,16,2,0,2,7.0,0.0,1.0,2,13.0,0.0,2.0,4.0,0.0,0.0,2.0,12,71.0,0.11800000000000001,0.12316953373083865,NL,87546,10783,97,adriaeh01,adriaeh01_2016,1,SFN,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_NL,2016_SFN,0.318,1.212,0.29662686567164176,-1.252056548938478,84.35966068219432,68.07875604142697,False,False,False,
adriaeh01_2017,70,162,30,43,9,2,2,24.0,8.0,1.0,16,25.0,1.0,1.0,1.0,6.0,0.0,15.0,30,186.0,0.122,0.12339456998861974,AL,92265,11385,101,adriaeh01,adriaeh01_2017,1,MIN,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_AL,2017_MIN,0.321,1.185,0.3020652173913043,-2.9720418271876774,84.93184141624421,84.35966068219432,False,False,False,
adriaeh01_2018,114,335,42,84,23,1,6,39.0,5.0,1.0,24,82.0,2.0,1.0,4.0,2.0,4.0,22.0,54,366.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,101,adriaeh01,adriaeh01_2018,1,MIN,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_MIN,0.315,1.226,0.2940694444444445,-6.2484366503534385,82.56670424144382,84.93184141624421,False,False,False,
aguilch01_2006,47,95,5,22,8,1,0,7.0,2.0,1.0,9,26.0,1.0,0.0,0.0,0.0,2.0,8.0,13,104.0,0.126,0.13077833178399392,NL,94664,12380,98,aguilch01,aguilch01_2006,1,FLO,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_FLO,0.332,1.17,0.27882524271844655,-4.7266450916936416,63.52083588293099,,True,False,True,
aguilch01_2008,8,12,0,2,0,0,0,0.0,0.0,0.0,2,4.0,0.0,0.0,1.0,0.0,1.0,2.0,2,15.0,0.12,0.12559485326069675,NL,94351,11850,97,aguilch01,aguilch01_2008,1,NYN,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_NL,2008_NYN,0.32799999999999996,1.2109999999999999,0.22914285714285712,-1.2244897959183674,33.41486203392749,,False,True,True,
aguilje01_2014,19,33,2,4,0,0,0,3.0,0.0,0.0,4,13.0,0.0,0.0,0.0,1.0,1.0,4.0,4,38.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,102,aguilje01,aguilje01_2014,1,CLE,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_CLE,0.31,1.304,0.16642105263157894,-4.184049079754601,-3.8805069536506434,,False,False,False,
aguilje01_2015,7,19,0,6,1,0,0,2.0,0.0,0.0,0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,5,20.0,0.113,0.11578947368421053,AL,91485,10593,102,aguilje01,aguilje01_2015,1,CLE,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_AL,2015_CLE,0.313,1.251,0.31894999999999996,0.09512390087929586,99.74671390160596,-3.8805069536506434,False,False,False,
