,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
beckhgo01_2018,22,44,3,8,1,0,0,1.0,1.0,0.0,4,11.0,0.0,0.0,2.0,0.0,1.0,4.0,7,50.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,96,beckhgo01,beckhgo01_2018,1,SEA,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_SEA,0.315,1.226,0.2118125,-4.208299347471452,31.363693821379584,9.58775865053025,True,False,True,8.032
beckhti01_2013,5,7,1,3,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,8.0,0.11,0.1136459562125951,AL,92401,10501,96,beckhti01,beckhti01_2013,1,TBA,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_AL,2013_TBA,0.314,1.2770000000000001,0.333,0.11902897415818334,113.7555845171773,,False,False,False,
beckhti01_2015,82,203,24,45,7,4,9,37.0,3.0,1.0,13,69.0,0.0,3.0,0.0,4.0,3.0,13.0,25,223.0,0.113,0.11578947368421053,AL,91485,10593,97,beckhti01,beckhti01_2015,1,TBA,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_AL,2015_TBA,0.313,1.251,0.2998340807174888,-2.346922462030375,91.4294543867556,,False,False,False,
beckhti01_2016,64,198,25,49,12,5,5,16.0,2.0,1.0,14,67.0,0.0,1.0,2.0,0.0,3.0,14.0,27,215.0,0.11800000000000001,0.12008028623789162,AL,91672,11008,97,beckhti01,beckhti01_2016,1,TBA,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_AL,2016_TBA,0.318,1.212,0.3142018779342723,-0.6737592773361872,98.60589079942017,91.4294543867556,False,False,False,
beckhti01_2017,137.0,533.0,67.0,148.0,18.0,5.0,22.0,62.0,6.0,5.0,36.0,167.0,0.0,4.0,1.0,1.0,10.0,36.0,103.0,575.0,0.122,0.12339456998861974,MULT,92265,11385,99.0,beckhti01,beckhti01_2017,2,MULT,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_AL,2017_BAL,0.321,1.185,0.3339146341463414,6.266594627971575,108.69070288289011,98.60589079942017,False,False,False,
beckhti01_2018,96,369,45,85,17,0,12,35.0,1.0,2.0,27,100.0,0.0,3.0,1.0,2.0,10.0,27.0,56,402.0,0.11699999999999999,0.11960967755972325,AL,91924,10995,102,beckhti01,beckhti01_2018,1,BAL,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_AL,2018_BAL,0.315,1.226,0.2883815461346633,-8.728073779661782,77.70974354146435,108.69070288289011,True,False,True,
bellda01_2006,145.0,504.0,60.0,136.0,27.0,4.0,10.0,63.0,3.0,1.0,50.0,68.0,3.0,4.0,3.0,5.0,18.0,47.0,95.0,566.0,0.126,0.13077833178399392,MULT,94664,12380,101.28975265017668,bellda01,bellda01_2006,1,MULT,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_PHI,0.332,1.17,0.3218017857142857,-4.933495115995135,88.43857206053643,,False,True,True,
bellhma01_2006,115,253,26,48,11,2,8,27.0,0.0,0.0,32,90.0,0.0,2.0,0.0,1.0,3.0,32.0,27,288.0,0.126,0.13077833178399392,NL,94664,12380,92,bellhma01,bellhma01_2006,1,SDN,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_NL,2006_SDN,0.332,1.17,0.28015625,-12.761538461538468,70.17148889441197,,True,False,True,6.117000000000001
bellhma01_2007,13,14,2,1,0,0,0,1.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1,18.0,0.124,0.1298514362562777,NL,95178,12359,104,bellhma01,bellhma01_2007,1,CIN,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_CIN,0.331,1.192,0.20777777777777776,-1.8607382550335576,12.064288967291505,70.17148889441197,False,True,True,
bellico01_2017,132,480,87,128,26,4,39,97.0,10.0,3.0,64,146.0,13.0,1.0,0.0,3.0,5.0,51.0,59,548.0,0.122,0.12856540517133316,NL,87753,11282,95,bellico01,bellico01_2017,1,LAN,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_LAN,0.321,1.185,0.3799420560747664,27.25759217634766,138.32658285614573,,False,False,False,
bellico01_2018,162,557,84,145,28,7,25,76.0,14.0,1.0,69,151.0,9.0,3.0,0.0,3.0,7.0,60.0,85,632.0,0.11699999999999999,0.12212761126248865,NL,88080,10757,95,bellico01,bellico01_2018,1,LAN,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_LAN,0.315,1.226,0.34526003210272876,15.598972503201125,120.80144448304422,138.32658285614573,False,False,False,
belliro01_2006,147.0,544.0,63.0,148.0,30.0,1.0,13.0,67.0,2.0,3.0,36.0,81.0,2.0,5.0,3.0,2.0,17.0,34.0,104.0,590.0,0.126,0.12975134486765372,MULT,87359,11285,98.28474576271186,belliro01,belliro01_2006,1,MULT,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_AL,2006_CLE,0.332,1.17,0.31575042735042735,-8.1942289429469,88.07052969156331,,True,False,True,
belliro01_2007,147,511,57,148,35,1,11,58.0,3.0,0.0,34,72.0,1.0,1.0,6.0,5.0,12.0,33.0,101,557.0,0.124,0.1298514362562777,NL,95178,12359,96,belliro01,belliro01_2007,1,WAS,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_WAS,0.331,1.192,0.3311254545454545,0.05862263575347962,99.39454720174622,88.07052969156331,False,False,False,
belliro01_2008,96,296,37,85,22,0,11,46.0,3.0,2.0,37,58.0,1.0,3.0,1.0,0.0,6.0,36.0,52,337.0,0.12,0.12559485326069675,NL,94351,11850,100,belliro01,belliro01_2008,1,WAS,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_NL,2008_WAS,0.32799999999999996,1.2109999999999999,0.3709223880597015,11.94454564502017,123.7660235173421,99.39454720174622,False,False,False,
belliro01_2009,110.0,264.0,39.0,73.0,14.0,1.0,10.0,39.0,3.0,0.0,20.0,56.0,0.0,0.0,1.0,2.0,10.0,20.0,48.0,287.0,0.12,0.1230072463768116,MULT,93840,11543,99.13240418118467,belliro01,belliro01_2009,2,MULT,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_NL,2009_LAN,0.32899999999999996,1.21,0.337506993006993,2.0177743743859518,104.11718942419445,123.7660235173421,True,False,True,
