Player,Club,Pos,service_time
"Howry,Bobby",CHC,rp,8.079
"Molina,Benji",SF,c,8.077
"Anderson,Marlon",NYM,2b,8.076
"Blum,Geoff",HOU,ss,8.056
"Berkman,Lance",HOU,of,8.052
"Halladay,Roy",TOR,p,8.047
"Cordero,Francisco",CIN,p,8.046
"Kennedy,Adam",STL,2b,8.045
"Ward,Daryle",CHC,of,8.044
"LoDuca,Paul",WAS,c,8.042
"Redman,Mark",COL,sp,8.041
"Burnett,A.J.",TOR,sp,8.038
"Helms,Wes",PHI,1b,8.018
"Ryan,B.J.",TOR,rp,8.003
"Furcal,Rafael",LAD,ss-2b,8.000
"Penny,Brad",LAD,sp,8.000
"Mulder,Mark",STL,sp,7.167
"Mota,Guillermo",MIL,p,7.159
"Lugo,Julio",BOS,ss,7.152
"LaRue,Jason",STL,c,7.150
"Hairston Jr.,Jerry",TEX,2b-of,7.138
"Burrell,Pat",PHI,of,7.131
"Torres,Salomon",MIL,p,7.129
"Fultz,Aaron",CLE,p,7.127
"Eaton,Adam",PHI,rhp,7.125
"Walker,Jamie",BAL,lhp,7.125
"Borowski,Joe",CLE,p,7.123
"Santana,Johan",MIN,p,7.122
"Gagne,Eric",MIL,sp,7.119
"Riske,David",MIL,rp,7.116
"Wells,Kip",COL,sp,7.116
"Padillia,Vincente",TEX,rp,7.105
"Matthews Jr.,Gary",LAA,of,7.104
"Lilly,Ted",CHC,lhp,7.102
"Pierzynski,A.J.",CWS,c,7.100
"Soriano,Alfonso",CHC,of,7.079
"Buehrle,Mark",CWS,lhp,7.078
"Bradford,Chad",BAL,rhp,7.075
"Zito,Barry",SF,sp,7.072
"Garland,Jon",LAA,sp,7.071
"Herges,Matt",COL,p,7.071
"Reyes,Al",TB,p,7.070
"DeRosa,Mark",CHC,2b,7.061
"Pierre,Juan",LAD,of,7.056
"Romero,J.C.",PHI,lhp,7.055
"Johnson,Nick",WAS,1b,7.041
"Roberts,Dave",SF,of,7.036
"Valentin,Javier",CIN,c,7.036
"Meche,Gil",KCA,p,7.029
"Wilson,Vance",DET,c,7.028
"Kapler,Gabe",MIL,of,7.025
"Franklin,Ryan",STL,p,7.022
"Rollins,Jimmy",PHI,ss,7.015
"Marquis,Jason",CHC,p,7.012
"Huff,Aubrey",BAL,3b,7.003
"Eckstein,David",TOR,ss,7.000
"Gibbons,Jay",BAL,1b,7.000
"Pujols,Albert",STL,1b,7.000
"Sabathia,C.C.",CLE,lhp,7.000
"Sheets,Ben",MIL,p,7.000
"Suzuki,Ichiro",SEA,of,7.000
"Bradley,Milton",TEX,of,6.169
"Lamb,Mike",MIN,3b,6.168
"Castro,Ramon",NYM,c,6.152
"Oswalt,Roy",HOU,p,6.149
"Wilson,Jack",PIT,ss,6.147
"Pineiro,Joel",STL,p,6.144
"Westbrook,Jake",CLE,p,6.144
"Vizcaino,Luis",COL,p,6.140
"Davis,Doug",ARZ,p,6.138
"Mahay,Ron",KCA,p,6.137
"Young,Michael",TEX,inf,6.134
"Schneider,Brian",NYM,c,6.125
"Marte,Damaso",PIT,p,6.122
"Nathan,Joe",MIN,rp,6.120
"McDonald,John",TOR,inf,6.118
"Wells,Vernon",TOR,of,6.113
"Inge,Brandon",DET,inf,6.109
"Baez,Danys",BAL,rhp,6.102
"Uribe,Juan",CWS,ss,6.089
"Mackowiak,Rob",WAS,of,6.077
"Byrnes,Eric",ARZ,of,6.075
"Dunn,Adam",CIN,of,6.074
"Izturis,Cesar",STL,ss,6.074
"Hall,Toby",CWS,c,6.072
"Rowand,Aaron",SF,of,6.065
"Zambrano,Carlos",CHC,p,6.042
"Beckett,Josh",BOS,p,6.030
"Torrealba,Yorvit",COL,c,6.030
"Molina,Jose",NYY,c,6.026
"Linebrink,Scott",CWS,rhp,6.016
"Michaels,Jason",CLE,of,6.016
"Affeldt,Jeremy",CIN,sp,6.000
"Silva,Carlos",SEA,p,6.000
"Arroyo,Bronson",CIN,p,5.150
"Shields,Scot",LAA,p,5.146
"Kearns,Austin",WAS,of,5.145
"Lyon,Brandon",ARZ,p,5.142
"Blake,Casey",CLE,3b,5.138
"Ellis,Mark",OAK,inf,5.136
"Sosa,Jorge",NYM,rhp,5.135
"Shouse,Brian",MIL,p,5.133
"Wise,Matt",NYM,p,5.132
