Player,Club,Pos,service_time
"Carlyle,Buddy",ATL,p,1.055
"Birkins,Kurt",TB,p,1.053
"Sampson,Chris",HOU,p,1.053
"Villanueva,Carlos",MIL,p,1.053
"Keppinger,Jeff",CIN,inf,1.052
"Hirsh,Jason",COL,p,1.051
"Schumaker,Skip",STL,of,1.051
"Baker,Jeff",COL,3b,1.049
"Kemp,Matt",LAD,of,1.049
"O'Flaherty,Eric",SEA,p,1.047
"Veras,Jose",NYY,p,1.047
"Romero,Davis",TOR,p,1.046
"Floyd,Gavin",CWS,rhp,1.045
"Young,Chris",ARZ,of,1.045
"Bullington,Bryan",PIT,p,1.044
"Hopper,Norris",CIN,inf-of,1.043
"Blackley,Travis",PHI,lhp,1.042
"Cruz,Nelson",TEX,of,1.042
"Pedroia,Dustin",BOS,2b-ss,1.041
"Marte,Andy",CLE,3b,1.038
"Young,Delmon",MIN,of,1.034
"Tulowitzki,Troy",COL,ss,1.033
"Montero,Miguel",ARZ,c,1.031
"Resop,Chris",ATL,p,1.031
"Slaten,Doug",ARZ,p,1.031
"Kouzmanoff,Kevin",SD,3b,1.030
"Iannetta,Chris",COL,c,1.029
"Karstens,Jeffrey",NYY,p,1.029
"Stokes,Brian",NYM,rhp,1.029
"Bourn,Michael",HOU,of,1.028
"Arias,Joaquin",TEX,ss,1.027
"Britton,Chris",NYY,p,1.026
"Pena,Brayan",ATL,c,1.026
"Perez,Rafael",CLE,p,1.026
"Murphy,Donnie",OAK,2b,1.025
"Burres,Brian",BAL,lhp,1.024
"Littleton,Wes",TEX,p,1.024
"Moseley,Dustin",LAA,p,1.022
"Salas,Juan",TB,p,1.018
"Carvajal,Marcos",FLA,p,1.017
"Valdez,Wilson",LAD,inf,1.017
"Rabelo,Mike",FLA,c,1.015
"Osoria,Franquelis",PIT,p,1.014
"Morales,Kendry",LAA,inf-of,1.013
"Perkins,Glen",MIN,p,1.013
"Saunders,Joe",LAA,p,1.013
"Bennett,Jeff",ATL,p,1.012
"Casilla,Santiago (Garcia,Jairo)",OAK,p,1.012
"Loney,James",LAD,1b,1.012
"Mathis,Jeff",LAA,c,1.012
"Sanchez,Angel",KCA,ss,1.012
"Sowers,Jeremy",CLE,p,1.012
"Bayliss,Jonah",PIT,p,1.010
"Owens,Henry",FLA,p,1.010
"Lerew,Anthony",ATL,p,1.008
"Howell,J.P.",TB,p,1.007
"Quintanilla,Omar",COL,ss,1.007
"Milledge,Lastings",WAS,of,1.004
"Rupe,Josh",TEX,p,1.004
"Ring,Royce",ATL,p,1.002
"Buck,Travis",OAK,of,1.000
"Burton,Jared",CIN,p,1.000
"Cameron,Kevin",SD,p,1.000
"Chico,Matt",WAS,lhp,1.000
"Danks,John",CWS,lhp,1.000
"De Asa,Alejandro",FLA,p,1.000
"Flores,Jesus",WAS,c,1.000
"Gordon,Alex",KCA,3b,1.000
"Hamilton,Josh",TEX,of,1.000
"Hampson,Justin",SD,p,1.000
"Iwamura,Akinori",TB,3b,1.000
"Lindstrom,Matt",FLA,p,1.000
"Marshall,Sean",CHC,p,1.000
"Matsuzaka,Daisuke",BOS,p,1.000
"Morrow,Brandon",SEA,p,1.000
"Nieve,Fernando",HOU,p,1.000
"Okajima,Hideki",BOS,p,1.000
"Owings,Micah",ARZ,p,1.000
"Sanchez,Humberto",NYY,p,1.000
"Soria,Joakim",KCA,p,1.000
"White,Sean",SEA,p,1.000
"Devine,Joey",OAK,rhp,0.171
"Albers,Matt",BAL,rhp,0.170
"Vargas,Jason",NYM,lhp,0.169
"Wilson,Brian",SF,p,0.169
"Corey,Bryan",BOS,p,0.167
"Davis,Rajai",SF,of,0.167
"Eveland,Dana",OAK,p,0.167
"Gwynn,Anthony",MIL,of,0.167
"Zobrist,Ben",TB,ss,0.166
"Brown,Andrew",OAK,p,0.165
"Nippert,Dustin",ARZ,p,0.164
"Huber,Jon",SEA,p,0.161
"Petit,Yusmeiro",ARZ,p,0.160
"Hughes,Philip",NYY,p,0.159
"Mujica,Edward",CLE,p,0.159
"Schroder,Chris",WAS,rhp,0.158
"Riggans,Shawn",TB,c,0.157
"Pence,Hunter",HOU,of,0.156
"Aybar,Willy",TB,inf,0.153
"Hammel,Jason",TB,p,0.153
"Saltalamacchia,Jarrod",TEX,c,0.152
"Roberson,Chris",BAL,of,0.150
"Garza,Matt",TB,p,0.149
"Henn,Sean",NYY,p,0.149
"Lincecum,Tim",SF,p,0.148
"Cali,Carmen",MIN,p,0.147
"Owens,Jerry",CWS,of,0.147
"Hessman,Mike",DET,inf,0.146
"Massett,Nick",CWS,rhp,0.146
"Lind,Adam",TOR,of,0.145
"Braun,Ryan",KCA,p,0.143
"Gomez,Carlos",NYM,of,0.141
"Durbin,J.D.",PHI,rhp,0.139
"Fields,Josh",CWS,3b,0.139
"Fontenot,Mike",CHC,2b,0.139
"Jones,Adam",SEA,ss,0.139
"Reynolds,Mark",ARZ,inf,0.138
"Gabbard,Kason",TEX,p,0.137
"Botts,Jason",TEX,1b,0.135
"Sanchez,Anibal",FLA,p,0.133
"Ortmeier,Dan",SF,of,0.132
"Smith,Joe",NYM,rhp,0.132
"Inglett,Joe",TOR,inf,0.131
"Gonzalez,Enrique",WAS,rhp,0.130
"Braun,Ryan",MIL,3b,0.129
"Lewis,Fred",SF,of,0.129
"Thompson,Kevin",PIT,of,0.129
"Callaspo,Alberto",KCA,2b,0.128
"McAnulty,Paul",SD,of/1b,0.127
"Haynes,Nathan",LAA,of,0.126
"Penn,Hayden",BAL,rhp,0.126
"Hernandez,Anderson",NYM,inf,0.125
"Mateo,Juan",CHC,p,0.125
"Wolfe,Brian",TOR,p,0.125
"Jimenez,Cesar",SEA,p,0.124
"Miller,Andrew",FLA,p,0.122
"Pelfrey,Mike",NYM,rhp,0.122
"Escobar,Yuniel",ATL,ss,0.121
"Sonnanstine,Andy",TB,p,0.121
"Butler,Billy",KCA,1b-of,0.120
"Volquez,Edinson",CIN,p,0.120
"Choo,Shin Soo",CLE,of,0.119
"Pie,Felix",CHC,of,0.118
"Thigpen,Curtis",TOR,c,0.118
"Youman,Shane",PHI,lhp,0.117
"Quiroz,Guillermo",BAL,c,0.116
"Casilla,Alexi",MIN,inf,0.115
"Dillon,Joe",MIL,inf,0.114
"Rodriguez,Guillermo",SF,c,0.114
"Ryu,Jae-Kuk",TB,p,0.113
"Suzuki,Kurt",OAK,c,0.113
"Kendrick,Kyle",PHI,rhp,0.110
"Stockman,Phil",ATL,p,0.110
"Zagurski,Mike",PHI,lhp,0.110
"Raburn,Ryan",DET,2b,0.109
"Gallardo,Yovani",MIL,p,0.108
"Hansen,Craig",BOS,p,0.108
"Livingston,Bobby",CIN,p,0.107
"Speier,Ryan",COL,p,0.107
"Litsch,Jesse",TOR,p,0.106
"Prado,Martin",ATL,2b,0.105
"Vanden Hurk,Rick",FLA,p,0.104
"Rowland-Smith,Ryan",SEA,p,0.101
"Hoey,James",BAL,rhp,0.097
"Metcalf,Travis",TEX,3b,0.097
"Ryan,Brendan",STL,ss,0.097
"Andino,Robert",FLA,inf,0.096
"Ennis,John",PHI,rhp,0.096
"Soto,Geovany",CHC,c,0.096
"Igawa,Kei",NYY,p,0.095
"Feierabend,Ryan",SEA,lhp,0.092
"Stauffer,Tim",SD,p,0.092
"McLemore,Mark",HOU,p,0.090
"Stults,Eric",LAD,p,0.089
"Budde,Ryan",LAA,c,0.088
"Fruto,Emiliano",ARZ,p,0.088
"Huber,Justin",KCA,c,0.088
"Jimenez,Kelvin",STL,p,0.088
"Jimenez,Ubaldo",COL,p,0.087
"Murphy,David",TEX,of,0.087
"Reyes,Jo-Jo",ATL,lhp,0.087
"Breslow,Craig",BOS,p,0.086
"Abreu,Tony",LAD,2b,0.085
"Braden,Dallas",OAK,p,0.084
"Salazar,Jeff",ARZ,of,0.084
"Dukes,Elijah",WAS,of,0.083
"Misch,Pat",SF,p,0.083
"Tata,Jordan",DET,p,0.082
"Clevlen,Brent",DET,of,0.080
"Jimerson,Charlton",SEA,of,0.080
"Lewis,Jensen",CLE,p,0.080
"Musser,Neal",KCA,p,0.080
"Taubenheim,Ty",PIT,p,0.079
"Perez,Juan",PIT,p,0.078
"Cherry,Rocky",BAL,rhp,0.077
"Parra,Manny",MIL,lhp,0.077
"Wassermann,Ehren",CWS,rhp,0.076
"Duncan,Shelley",NYY,inf-of,0.073
"McBeth,Marcus",CIN,p,0.073
"Bulger,Jason",LAA,p,0.072
"Francisco,Ben",CLE,of,0.071
"Gallagher,Sean",CHC,p,0.070
"Jaramillo,Jason",PHI,c,0.069
"Coats,Buck",TOR,of,0.068
"Ramirez,Edwar",NYY,p,0.068
"Young,Delwyn ",LAD,of,0.067
"Buscher,Brian",MIN,3b,0.066
"Richar,Danny",CWS,2b,0.065
"Robertson,Connor",ARZ,p,0.063
"Slowey,Kevin",MIN,p,0.063
"Jones,Garrett",MIN,1b,0.061
"Moore,Scott",BAL,3b,0.061
"Rottino,Vinny",MIL,inf,0.061
"Olson,Garrett",BAL,lhp,0.060
"Upton,Justin",ARZ,ss,0.060
"Day,Dewon",CWS,rhp,0.058
"Hannahan,Jack",OAK,3b,0.057
"Hernandez,Luis",BAL,ss,0.057
"Humber,Philip",NYM,rhp,0.057
"Bellorin,Edwin",COL,c,0.056
"Guzman,Joel",TB,of-1b-3b,0.056
"Cabrera,Asdrubal",CLE,2b-ss,0.055
"Chamberlain,Joba",NYY,p,0.055
"LaRoache,Andy",LAD,3b,0.055
"McDonald,Darnell",MIN,of,0.055
"DePaula,Julio",MIN,p,0.054
"Fiorentino,Jeff",CIN,of,0.054
"Lara,Juan",CLE,p,0.054
"Meyer,Dan ",OAK,p,0.054
"Peguero,Jailen",ARZ,p,0.054
"Haeger,Charles",CWS,rhp,0.053
"Sweeney,Ryan",OAK,of,0.053
"Acosta,Manny",ATL,p,0.052
"Barone,Daniel",FLA,p,0.052
"Murray,A.J.",TEX,p,0.052
"Stewart,Ian ",COL,3b,0.052
"Timpner,Clay",SF,of,0.051
"Dumatrait,Phil",PIT,p,0.050
"Hansack,Devern",BOS,p,0.050
"Sarfate,Dennis",BAL,rhp,0.050
"Ascanio,Jose",CHC,p,0.048
"Thatcher,Joe",SD,p,0.048
"Wood,Brandon",LAA,ss,0.048
"Jurrjens,Jair",ATL,p,0.047
"Bazardo,Yorman",DET,p,0.046
"Jackson,Zach",MIL,p,0.046
"Pauley,David",BOS,p,0.046
"Barden,Brian",STL,3b,0.045
"Maybin,Cameron",FLA,of,0.045
"Hull,Eric",LAD,p,0.044
"Morales,Franklin",COL,lhp,0.044
"Wolf,Ross",FLA,p,0.044
"Laffey,Aaron",CLE,p,0.043
"Carroll,Brett",FLA,of,0.042
"Clippard,Tyler",WAS,rhp,0.042
"Pignatiello,Carmen",CHC,p,0.042
"Bailey,Homer",CIN,p,0.041
"Lannan,John",WAS,lhp,0.041
"Buckner,Billy",ARZ,p,0.038
"Slocum,Brian",CLE,p,0.038
"Cruceta,Francisco",DET,p,0.037
"Ellsbury,Jacoby",BOS,of,0.037
"Liz,Radhames",BAL,rhp,0.037
"Morillo,Juan",COL,p,0.037
"Patton,Troy",BAL,lhp,0.037
"Sanchez,Romulo",PIT,p,0.037
"Stansberry,Craig",SD,2b,0.037
"Gutierrez,Juan",ARZ,p,0.035
"Vasquez,Virgil",DET,p,0.034
"Cassel,Jack",HOU,p,0.033
"Moss,Brandon",BOS,of,0.033
"Buchholz,Clay",BOS,rhp,0.031
"Koshansky,Joe",COL,inf,0.031
"Snyder,Brad",CLE,of,0.031
"Anderson,Josh",ATL,of,0.030
"Bohn,T.J.",PHI,of,0.030
"Bonifacio,Emilio",ARZ,2b,0.030
"Casto,Kory",WAS,3b,0.030
"Collazo,Willie",NYM,lhp,0.030
"Gonzalez,Alberto",NYY,ss,0.030
"Hu,Chin-Lung",LAD,ss,0.030
"Johnson,Rob",SEA,c,0.030
"Kennedy,Ian",NYY,p,0.030
"Lucy,Donny",CWS,c,0.030
"Meloan,Jonathan",LAD,rhp,0.030
"Morgan,Nyjer",PIT,of,0.030
"Murphy,Bill",ARZ,p,0.030
"Pearce,Steve",PIT,1b-of,0.030
"Stetter,Mitch",MIL,p,0.030
"Thompson,Rich",LAA,p,0.030
"Blackburn,Nick",MIN,p,0.028
"Garcia,Harvey",FLA,p,0.028
"Rapada,Clay",DET,p,0.028
"Seddon,Chris",FLA,p,0.028
"Albaladejo,Jonathan",NYY,p,0.027
"Balentien,Wladimir",SEA,of,0.027
"Banks,Josh",TOR,p,0.027
"Broadway,Lance",CWS,rhp,0.027
"Clement,Jeff",SEA,c,0.027
"Davidson,David",PIT,p,0.027
"Detwiler,Ross",WAS,lhp,0.027
"Fuld,Sam",CHC,of,0.027
"Hanigan,Ryan",CIN,c,0.027
"Hart,Kevin",CHC,p,0.027
"Hochevar,Luke",KCA,p,0.027
"Maxwell,Justin",WAS,of,0.027
"Myrow,Brian",SD,inf,0.027
"Paulino,Felipe",HOU,rhp,0.027
"Threets,Erick",SF,p,0.027
"Towles,J.R.",HOU,c,0.027
"Velez,Eugenio",SF,inf,0.027
"Votto,Joey",CIN,1b,0.027
"Evans,Terry",LAA,of,0.026
"Mendoza,Luis",TEX,p,0.026
"Zarate,Mauro",SD,p,0.026
"Brown,Matt",LAA,inf,0.025
"Morales,Jose",MIN,c,0.024
"Newman,Josh",COL,p,0.023
"Ohlendorf,Ross",NYY,p,0.022
"Barton,Daric",OAK,c,0.021
"Petrick,Billy",CHC,p,0.021
"Wright,Chase",NYY,p,0.021
"Fox,Jake",CHC,c,0.020
"Sammons,Clint",ATL,c,0.020
"Galarraga,Armando",TEX,p,0.019
"Ishikawa,Travis",SF,1b,0.018
"Sadler,Billy",SF,p,0.018
"Blevins,Jerry",OAK,p,0.016
"Brackman,Andrew",NYY,p,0.016
"Garcia,Anderson",PHI,rhp,0.016
"Smith,Seth",COL,of,0.016
"Jones,Brandon",ATL,of,0.015
"De La Cruz,Eulogio",FLA,p,0.014
"Ridgway,Jeff",ATL,lhp,0.014
"Headley,Chase",SD,3b,0.013
"Porcello,Rick",DET,p,0.013
"Maier,Mitch",KCA,c,0.012
"Patterson,Eric",CHC,2b,0.012
"Ruggiano,Justin",TB,of,0.012
"Muniz,Carlos",NYM,rhp,0.010
"Johnson,Jim",BAL,rhp,0.008
"Bisenius,Joe",PHI,rhp,0.007
"Valdez,Merkin",SF,p,0.006
"Melillo,Kevin",OAK,2b,0.005
"Bankston,Wes",OAK,inf,0.004
"Happ,J.A.",PHI,lhp,0.001
"Armstrong,Cole",CWS,c,0.000
"Arredondo,Jose",LAA,p,0.000
"Astacio,Olivo",PIT,p,0.000
"Aubrey,Michael",CLE,1b,0.000
"Barthmaier,Jimmy",PIT,p,0.000
"Bass,Brian",MIN,p,0.000
"Belisario,Ronald",PIT,p,0.000
"Bernadina,Roger",WAS,of,0.000
"Bierd,Randor",BAL,rhp,0.000
"Bixler,Brian",PIT,inf,0.000
"Blanco,Gregor",ATL,of,0.000
"Bostick,Adam",NYM,lhp,0.000
"Bowker,John",SF,of,0.000
"Brito,Javier",ARZ,1b,0.000
"Brown,Dusty",BOS,c,0.000
"Carter,Chris",BOS,1b-of,0.000
"Castillo,Wilkin",ARZ,c,0.000
"Cervelli,Francisco",NYY,c,0.000
"Chen,Yung-Chi",SEA,2b,0.000
"Costanzo,Mike",BAL,3b,0.000
"Coutlangus,Jon",CIN,p,0.000
"Crabbe,Callix",SD,2b,0.000
"Cuevas,Jairo",ATL,p,0.000
"Delgado,Jesus",FLA,p,0.000
"Denker,Travis",SF,2b,0.000
"Deza,Freddy",BAL,rhp,0.000
"Diamond,Thomas",TEX,p,0.000
"Diaz,Argenis",BOS,ss,0.000
"Diaz,Robinzon",TOR,c,0.000
"Dickerson,Chris",CIN,of,0.000
"Dillard,Tim",MIL,p,0.000
"Donovan,Todd",TEX,of,0.000
"Egbert,Jack",CWS,rhp,0.000
"Escobar,Alcides",MIL,ss,0.000
"Estrada,Paul",HOU,p,0.000
"Frieri,Ernesto",SD,p,0.000
"Fukudome,Kosuke",CHC,of,0.000
"Fukumori,Kaz",TEX,p,0.000
"Gardner,Michael",SD,p,0.000
"Gardner,Richie",CIN,p,0.000
"Gervacio,Sam",HOU,p,0.000
"Gonzalez,Carlos",OAK,of,0.000
"Gray,Jeff",OAK,p,0.000
"Guevara,Carlos",SD,p,0.000
"Guzman,Garrett",WAS,of,0.000
"Haerther,Cody",STL,of,0.000
"Hanrahan,Joel",WAS,rhp,0.000
"Harben,Adam",CHC,p,0.000
"Harman,Brad",PHI,2b-ss,0.000
"Harrell,Lucas",CWS,rhp,0.000
"Harrison,Matt",TEX,lhp,0.000
"Hawksworth,Blake",STL,p,0.000
"Hernandez,Fernando ",OAK,p,0.000
"Herrera,Javier",OAK,of,0.000
"Herrera,Jon",COL,inf,0.000
"Herrera,Yoslan",PIT,p,0.000
"Hoffpauir,Jarrett",STL,inf,0.000
"Holdzkom,Lincoln",PHI,rhp,0.000
"Houser,James",TB,lhp,0.000
"Houston,Ryan",HOU,p,0.000
"Iribarren,Hernan",MIL,2b,0.000
"Jackson,Kyle",BOS,p,0.000
"James,Brad",HOU,rhp,0.000
"Janish,Paul",CIN,ss,0.000
"Jaso,John",TB,c,0.000
"Johnson,Elliot",TB,2b,0.000
"Kennard,Jeff",LAA,p,0.000
"Kobayahsi,Masahide",CLE,p,0.000
"Korecky,Bobby",MIN,p,0.000
"Kottaras,George",BOS,c,0.000
"Kuroda,Hiroki",LAD,p,0.000
"Lahair,Bryan",SEA,of,0.000
"Lahey,Tim",CHC,p,0.000
"Lewis,Scott",CLE,p,0.000
"Lisson,Mario",KCA,inf,0.000
"Lumsden,Tyler",KCA,p,0.000
"Machi,Jean",TOR,p,0.000
"Macias,Drew",SD,of,0.000
"Macri,Matt",MIN,inf,0.000
"Marquez,Jeff",NYY,p,0.000
"Martinez,Edgar",BOS,p,0.000
"Mather,Joe",STL,of,0.000
"Matos,Osiris",SF,p,0.000
"McClellan,Kyle",STL,p,0.000
"McCrory,Bob",BAL,rhp,0.000
"Medlock,Calvin",TB,p,0.000
"Mijares,Jose",MIN,p,0.000
"Miller,Adam",CLE,p,0.000
"Miller,Greg",LAD,p,0.000
"Miller,Jai",FLA,of,0.000
"Miranda,Juan",NYY,1b,0.000
"Mock,Garrett",WAS,rhp,0.000
"Morton,Charlie",ATL,p,0.000
"Morton,Colt",SD,c,0.000
"Motte,Jason",STL,p,0.000
"Munoz,Luis",PIT,p,0.000
"Nelson,Brad",MIL,1b,0.000
"Nestor,Scott",FLA,p,0.000
"Niemann,Jeff",TB,p,0.000
"Nix,Jason",COL,ss,0.000
"Ogando,Alexi",TEX,p,0.000
"Palmisano,Lou",MIL,c,0.000
"Parisi,Mike",STL,p,0.000
"Patterson,Scott",NYY,p,0.000
"Pelland,Tyler",CIN,lhp,0.000
"Pena,Luis",MIL,p,0.000
"Perez,Fernando",TB,of,0.000
"Perez,Oneli",CWS,rhp,0.000
"Petit,Gregorio",OAK,inf,0.000
"Picardo,Kelvin",SF,p,0.000
"Powell,Landon",OAK,c,0.000
"Price,David",TB,p,0.000
"Pridie,Jason",MIN,of,0.000
"Purcey,David",TOR,p,0.000
"Ramirez,Alexei",CWS,of,0.000
"Ramirez,Ramon A.",CIN,p,0.000
"Ramirez,Yordany",HOU,of,0.000
"Register,Steven",NYM,rhp,0.000
"Reineke,Chad",HOU,rhp,0.000
"Robnett,Rich",OAK,of,0.000
"Rodriguez,Henry",OAK,p,0.000
"Rogers,Esmil",COL,p,0.000
"Romero,Alex",ARZ,of,0.000
"Rosa,Carlos",KCA,p,0.000
"Rosales,Leo",ARZ,p,0.000
"Russell,Adam",CWS,rhp,0.000
"Samardzija,Jeff",CHC,p,0.000
"Santos,Sergio",TOR,ss,0.000
"Scherzer,Max",ARZ,p,0.000
"Schierholtz,Nate",SF,of,0.000
"Schreiber,Zach",ATL,p,0.000
"Simonitsch,Errol",MIN,p,0.000
"Sipp,Tony",CLE,p,0.000
"Smit,Alexander",CIN,p,0.000
"Sosa,Oswaldo",MIN,p,0.000
"Span,Denard",MIN,of,0.000
"Strop,Pedro",COL,rhp,0.000
"Talbot,Mitch",TB,p,0.000
"Tatum,Craig",CIN,c,0.000
"Thompson,Daryl",CIN,p,0.000
"Thorpe,Tracy",TOR,p,0.000
"Tolbert,Matt",MIN,inf,0.000
"Toregas,Wyatt",CLE,c,0.000
"Valenzuela,Sergio",CIN,p,0.000
"Vasquez,Carlos",CWS,rhp,0.000
"Vasquez,Esmerling",ARZ,p,0.000
"Wells,Jared",SD,p,0.000
"White,Steven",NYY,p,0.000
"Whitesell,Josh",WAS,1b,0.000
"Whitney,Matt",WAS,3b-1b,0.000
"Wilson,Bobby",LAA,c,0.000
"Woerman,Joe",SEA,p,0.000
"Worrell,Mark",STL,p,0.000
"Wright,Wesley",HOU,p,0.000
"Yabuta,Yasuhiko",KCA,p,0.000
"Barton,Brian",STL,of,
"Boggs,Brandon",TEX,of,
"Borbon,Julio",TEX,of,
"Capellan,Jose",SF,p,
"Madrigal,Warner",TEX,p,
"Meek,Evan",PIT,p,
"Pimentel,Julio",KCA,p,
"Ramirez,Max",TEX,c,
"Santos,Reid",CLE,p,
"Tupman,Matt",KCA,c,
"Wells,Randy",TOR,p,
